100;0,0000107000;0,0000153000;0,0000119500
200;0,0000202002;0,0000220002;0,0000207751
300;0,0000291001;0,0000306999;0,0000298001
400;0,0000395000;0,0000404001;0,0000398500
500;0,0000471999;0,0000505000;0,0000490000
600;0,0000582999;0,0000594999;0,0000589999
700;0,0000660999;0,0000686001;0,0000677000
800;0,0000773000;0,0000789000;0,0000783000
900;0,0000876999;0,0000886000;0,0000880000
1000;0,0000957001;0,0000978999;0,0000970750
1100;0,0001046001;0,0001103000;0,0001070751
1200;0,0001134002;0,0001165001;0,0001151001
1300;0,0001206000;0,0001262000;0,0001243000
1400;0,0001300999;0,0001417000;0,0001353500
1500;0,0001435000;0,0001480998;0,0001461750
1600;0,0001493001;0,0001546999;0,0001521250
1700;0,0001608999;0,0001900000;0,0001695250
1800;0,0001727000;0,0001774000;0,0001753250
1900;0,0001850999;0,0001910999;0,0001875749
2000;0,0001898000;0,0001969000;0,0001949750
