100;0,0000113002;0,0000259001;0,0000150501
200;0,0000231001;0,0000275001;0,0000251000
300;0,0000376001;0,0000414001;0,0000390501
400;0,0000509000;0,0000531999;0,0000518750
500;0,0000657998;0,0000668999;0,0000662499
600;0,0000789000;0,0000845999;0,0000806250
700;0,0000914999;0,0000944000;0,0000924500
800;0,0001041999;0,0001069999;0,0001054250
900;0,0001180002;0,0001218999;0,0001199500
1000;0,0001320001;0,0001371000;0,0001338000
1100;0,0001435000;0,0001478000;0,0001460750
1200;0,0001574999;0,0001605998;0,0001589999
1300;0,0001723000;0,0014150999;0,0004839500
1400;0,0001896999;0,0001972001;0,0001924750
1500;0,0002009000;0,0002108000;0,0002058000
1600;0,0002122000;0,0002367999;0,0002200750
1700;0,0002293000;0,0002343999;0,0002320250
1800;0,0002406000;0,0002514999;0,0002449750
1900;0,0002541000;0,0002625000;0,0002578000
2000;0,0002688000;0,0002810999;0,0002737250
