100;0,0000107000;0,0000152001;0,0000118751
200;0,0000203999;0,0000223001;0,0000209750
300;0,0000296000;0,0000316000;0,0000302250
400;0,0000397002;0,0000443000;0,0000410751
500;0,0000493000;0,0000501000;0,0000497750
600;0,0000590000;0,0000686001;0,0000616500
700;0,0000675998;0,0000693002;0,0000688250
800;0,0000773000;0,0000793000;0,0000785250
900;0,0000837001;0,0000885001;0,0000868000
1000;0,0000938999;0,0000987002;0,0000968750
1100;0,0001069000;0,0001085000;0,0001080000
1200;0,0001163001;0,0001244000;0,0001204000
1300;0,0001275998;0,0001338001;0,0001306500
1400;0,0001447999;0,0001493001;0,0001467750
1500;0,0001524999;0,0001558000;0,0001546500
1600;0,0001592000;0,0001654001;0,0001629000
1700;0,0001647000;0,0001733000;0,0001685750
1800;0,0001846999;0,0001935000;0,0001893500
1900;0,0001889002;0,0001996001;0,0001952000
2000;0,0002054002;0,0002132000;0,0002092500
