100;0,0006856000982224941;0,0007187000010162592;0,00069500005338341
200;0,0023153999354690313;0,0023280999157577753;0,0023207750055007637
300;0,005088699981570244;0,00577219994738698;0,005266449996270239
400;0,008760099997743964;0,00943960016593337;0,008936925034504384
500;0,01341450004838407;0,013483500108122826;0,013443325005937368
600;0,01983270002529025;0,02083890000358224;0,020108900032937527
700;0,0271828998811543;0,02747159986756742;0,027364474954083562
800;0,036161000141873956;0,03821330005303025;0,03680630004964769
900;0,043948300182819366;0,05600490001961589;0,04761975002475083
1000;0,055198200047016144;0,058802900137379766;0,05617652495857328
1100;0,06977319996803999;0,0707383998669684;0,07013162499060854
1200;0,08321189996786416;0,08572029997594655;0,08458452497143298
1300;0,09452349995262921;0,09472599998116493;0,0946296249749139
1400;0,10789870005100965;0,10843079979531467;0,10811394994379953
1500;0,12648419989272952;0,12858529994264245;0,1274773000041023
1600;0,13910740008577704;0,14220399991609156;0,1400973749696277
1700;0,16814520000480115;0,1715566001366824;0,17029120004735887
1800;0,17438869993202388;0,1769731999374926;0,17558172502322122
1900;0,19815619988366961;0,20033749984577298;0,1991792749031447
2000;0,22148680011741817;0,23237679991871119;0,22632870002416894
